solver	dataset	run	wall_s	peak_rss_kb	tour_cost
nn	berlin52	1	0.0000	6720	8980.91797
nn	berlin52	2	0.0000	6776	8980.91797
nn	berlin52	3	0.0000	6596	8980.91797
nn	berlin52	4	0.0000	6564	8980.91797
nn	berlin52	5	0.0000	6644	8980.91797
nn	a280	1	0.0100	6704	3168.95410
nn	a280	2	0.0100	6616	3551.81372
nn	a280	3	0.0100	6716	3168.95410
nn	a280	4	0.0100	6768	3148.10962
nn	a280	5	0.0000	6776	3551.81372
nn	att532	1	0.0100	7604	112099.42188
nn	att532	2	0.0200	7440	112099.42188
nn	att532	3	0.0300	7428	112099.42188
nn	att532	4	0.0200	7492	112099.42188
nn	att532	5	0.0200	7396	112099.42188
lk	berlin52	1	0.2200	6764	7544.36572
lk	berlin52	2	0.1400	6796	7544.36572
lk	berlin52	3	0.1600	6652	7544.36572
lk	berlin52	4	0.1000	6600	7544.36572
lk	berlin52	5	0.1300	6776	7544.36572
lk	a280	1	3.0900	6992	2653.45337
lk	a280	2	1.2700	6988	2589.01587
lk	a280	3	1.0800	7152	2799.25171
lk	a280	4	2.8800	7092	2655.76025
lk	a280	5	1.4800	7096	2634.94897
lk	att532	1	19.9400	8756	91490.89062
lk	att532	2	31.5100	8816	90291.82031
lk	att532	3	36.7400	8760	88658.79688
lk	att532	4	13.9800	8852	89536.28906
lk	att532	5	25.0300	8764	89704.75000
fourier	berlin52	1	0.2100	6864	8549.14062
fourier	berlin52	2	0.1300	6728	8549.14062
fourier	berlin52	3	0.1400	7020	8549.14062
fourier	berlin52	4	0.1300	6724	8549.14062
fourier	berlin52	5	0.1500	6988	8549.14062
fourier	a280	1	0.3200	6996	5260.93994
fourier	a280	2	0.3200	7052	5260.93994
fourier	a280	3	0.3600	7120	5260.93994
fourier	a280	4	0.3100	7108	5260.93994
fourier	a280	5	0.3500	7148	5260.93994
branch_bound	burma14	1	0.0100	6792	3651.00000
branch_bound	burma14	2	0.0100	6728	3651.00000
branch_bound	burma14	3	0.0200	6912	3651.00000
branch_bound	burma14	4	0.0200	6888	3651.00000
branch_bound	burma14	5	0.0400	6780	3651.00000
branch_bound	gr17	1	0.0000	6776	2187.00000
branch_bound	gr17	2	0.0000	6436	2187.00000
branch_bound	gr17	3	0.0000	6772	2187.00000
branch_bound	gr17	4	0.0000	6680	2187.00000
branch_bound	gr17	5	0.0000	6652	2187.00000
