solver	dataset	run	wall_s	peak_rss_kb	tour_cost
nn	berlin52	1	0.0000	6604	8980.91797
nn	berlin52	2	0.0000	6684	8980.91797
nn	berlin52	3	0.0100	6648	8980.91797
nn	berlin52	4	0.0000	6628	8980.91797
nn	berlin52	5	0.0000	6740	8980.91797
nn	a280	1	0.0100	6648	3572.65820
nn	a280	2	0.0100	6772	3551.81372
nn	a280	3	0.0000	6564	3148.10962
nn	a280	4	0.0100	6732	3148.10962
nn	a280	5	0.0100	6696	3551.81372
nn	att532	1	0.0300	7564	112099.42188
nn	att532	2	0.0200	7564	112099.42188
nn	att532	3	0.0100	7624	112099.42188
nn	att532	4	0.0200	7528	112099.42188
nn	att532	5	0.0100	7620	112099.42188
lk	berlin52	1	0.2000	6560	7544.36572
lk	berlin52	2	0.1000	6616	7544.36572
lk	berlin52	3	0.1300	6672	7544.36572
lk	berlin52	4	0.1200	6740	7544.36572
lk	berlin52	5	0.1800	6736	7544.36572
lk	a280	1	2.1900	7064	2657.01099
lk	a280	2	1.3400	7144	2662.53345
lk	a280	3	3.0200	7012	2651.04297
lk	a280	4	1.5100	7204	2822.54688
lk	a280	5	1.1400	7132	2688.12744
lk	att532	1	15.6200	9000	92196.10938
lk	att532	2	24.5800	8780	89318.61719
lk	att532	3	55.2600	8884	89284.44531
lk	att532	4	23.1600	8776	89388.82031
lk	att532	5	23.5300	8680	90257.87500
fourier	berlin52	1	0.1600	6956	8549.14062
fourier	berlin52	2	0.1500	6756	8549.14062
fourier	berlin52	3	0.1400	6896	8549.14062
fourier	berlin52	4	0.1500	6900	8549.14062
fourier	berlin52	5	0.1700	6884	8549.14062
fourier	a280	1	0.3600	7140	5260.93994
fourier	a280	2	0.3900	7220	5260.93994
fourier	a280	3	0.4000	7156	5260.93994
fourier	a280	4	0.4000	6952	5260.93994
fourier	a280	5	0.3900	6928	5260.93994
branch_bound	burma14	1	0.0200	6864	3651.00000
branch_bound	burma14	2	0.0200	6848	3651.00000
branch_bound	burma14	3	0.0100	6848	3651.00000
branch_bound	burma14	4	0.0200	6860	3651.00000
branch_bound	burma14	5	0.0200	6856	3651.00000
branch_bound	gr17	1	0.0000	6628	2187.00000
branch_bound	gr17	2	0.0000	6668	2187.00000
branch_bound	gr17	3	0.0000	6716	2187.00000
branch_bound	gr17	4	0.0000	6664	2187.00000
branch_bound	gr17	5	0.0000	6656	2187.00000
